Price,Definition,Address,Area,Bedrooms,Bathrooms
"1,149,915EGP",Studio39sqm With Private Garden in Magawish,"منطقة الأنتر, الغردقة / البحر الأحمر",39 M²,1,1
"1,800,000EGP",Apartments For sale in Loaloat New Cairo Compound - Urban Communities Authority,"كمبوند لؤلؤة القاهرة الجديدة - هيئة المجتمعات , كمبوند بالتجمع الخامس",152 M²,3,2
"1,930,500EGP",Apartments For sale in Fifth Neighborhood,"الحي الخامس, بيت الوطن",117 M²,2,1
"1,408,000EGP",امتلك شقتك200م بgolden square بالتجمع الخامس,كمبوند بالتجمع الخامس,200 M²,3,2
"1,500,000EGP",Apartments For sale in El-Imam El-Bokhary St,"شارع الإمام البخاري, حي الأشجار - الحي المتميز",140 M²,3,2
"1,798,500EGP","Apartment for sale,109meters, in a compound in the Central Plateau, Mokattam, near Carrefour Maadi","نكست بوينت - نكست هوم, كمبوند بالهضبة الوسطى",109 M²,2,1
"1,950,000EGP",Apartments For sale in Area B,"منطقة ب, حدائق الأهرام",145 M²,3,2
"1,800,000EGP",Apartments For sale in Loaloat New Cairo Compound - Urban Communities Authority,"كمبوند لؤلؤة القاهرة الجديدة - هيئة المجتمعات , كمبوند بالتجمع الخامس",152 M²,3,1
"1,084,800EGP",Apartments For sale in Samira Mousa St.,"شارع سميرة موسي, الحي الخامس",64 M²,1,1
"1,800,000EGP",Apartments For sale in Neighbourhمدينه الشروقood3,"المجاوره الثالثه, المنطقة الرابعة",130 M²,3,2
"1,200,000EGP",Apartments For sale in Hay El Andalus - Seventh Neighborhood,"حي الأندلس - الحي السابع , مدينة بدر",115 M²,3,2
"1,200,000EGP",Roof For sale in The2000Pieces,"حي 2000 قطعة, التوسعات الشمالية",100 M²,1,1
"1,900,000EGP",Apartments For sale in El Andalus1,"الأندلس 1, الأندلس",165 M²,3,2
"1,450,000EGP",شقة للبيع115م سموحة  ش15متفرع من ش النصر والهيلتون,"شارع جرين بلازا, سموحة",115 M²,2,1
"1,700,000EGP",Apartments For sale in El Moshir Tantawy Axis,"محور المشير طنطاوي, مدينة نصر",126 M²,3,2
"1,300,000EGP",Apartment155sqm for sale (Fleming) - view of the Faculty of Physical Education for Girls,"شارع مصطفى كامل , فلمنج",155 M²,2,1
"1,550,000EGP",Apartments For sale in The2000Pieces,"حي 2000 قطعة, التوسعات الشمالية",145 M²,3,2
"1,500,000EGP",Apartments For sale in Area T,"المنطقة ط, حدائق الأهرام",130 M²,3,2
"1,500,000EGP",Apartments For sale in Third Neighborhood,"المحلية الثالثة, التجمع الثالث",160 M²,2,1
"1,522,000EGP",Studio For sale in Porto Golf Marina - Amer Group,"بورتو جولف مارينا - عامر جروب, منتجعات الساحل الشمالى",30 M²,1,1
"1,423,000EGP",Studio For sale in Porto Golf Marina - Amer Group,"بورتو جولف مارينا - عامر جروب, منتجعات الساحل الشمالى",30 M²,1,1
"1,980,000EGP",Apartment with Garden For sale in Porto Golf Marina - Amer Group,"بورتو جولف مارينا - عامر جروب, منتجعات الساحل الشمالى",44 M²,1,1
"1,907,000EGP",studio For sale in Porto Said Compound - Amer Group,"كمبوند بورتو سعيد - عامر جروب, كمبوند في بور سعيد",48 M²,1,1
"1,320,000EGP",Apartments For sale in Marsa Matrouh City,"منتجعات مرسى مطروح, مرسى مطروح",75 M²,2,1
"1,400,000EGP",Apartments For sale in طريق الواحات,"طريق الواحات, 6 أكتوبر",56 M²,1,1
"1,500,000EGP",Apartments For sale in طريق الواحات,"طريق الواحات, 6 أكتوبر",57 M²,1,1
"1,604,000EGP",Studio For sale in Porto Golf Marina - Amer Group,"بورتو جولف مارينا - عامر جروب, منتجعات الساحل الشمالى",30 M²,1,1
"1,600,000EGP",Apartments For sale in Eco West Compound - New City,"كمبوند ايكو ويست - نيو سيتي, كمبوند في حدائق أكتوبر",80 M²,2,1
"1,402,500EGP",Apartments For sale in Marsa Matrouh City,"مدينة مرسى مطروح, مرسى مطروح",85 M²,2,1
"1,600,000EGP",For sale - Apartments80M² Semi Finished in Eco West Compound - New City,كمبوند اكويست في حدائق اكتوبر,80 M²,2,1
"1,190,000EGP",175meter apartment in De Joya New Zayed Compound with the latest designs,"دي جويا ريزيدنس - تاج مصر, الشيخ زايد الجديدة",175 M²,4,3
"1,800,000EGP","Apartments For sale in El Andalus1Ah , AM","الأندلس 1, الأندلس",110 M²,2,1
"1,082,300EGP","122sqm apartment next to the American University, in installments over7years","كمبوند أزاد - تعمير, كمبوند بالتجمع الخامس",122 M²,2,1
"1,500,000EGP","Roof For sale in Abo El Hawl3For1,500,000Only  TE , AH","ابو الهول 3, جاردينيا هايتس - أبو الهول",120 M²,2,1
"1,759,500EGP",Apartments For sale in Creek Park Compound - Grand Group,"كمبوند كريك بارك - جراند جروب, كمبوند في ٦ اكتوبر",207 M²,3,2
"1,900,000EGP",شقة3غرف نوم بأقل نسبة تحميل بكمبوند باميز لوكيشن في اكتوبر fk hm,", 6 أكتوبر",80 M²,3,1
"1,300,000EGP","Roof For sale in Abo El Hawl2TE, AH","ابو الهول 2, جاردينيا هايتس - أبو الهول",125 M²,2,1
"1,800,000EGP","Apartments For sale in Abo El Hawl3TE , ,AH","ابو الهول 3, جاردينيا هايتس - أبو الهول",115 M²,2,1
"1,800,000EGP","Apartments For sale in MasaknThe city of Nasr, Zahraa, the city of Nasr  El Dobat","مساكن الضباط, زهراء مدينة نصر",120 M²,3,1
"2,000,000EGP","Apartments For sale in Abo El Hawl3TE , AH","ابو الهول 3, جاردينيا هايتس - أبو الهول",115 M²,2,1
"1,950,000EGP",Apartments For sale in Abo El Hawl2,"ابو الهول 2, جاردينيا هايتس - أبو الهول",125 M²,3,2
"1,600,000EGP",Apartments For sale in Eco West Compound - New City,"كمبوند ايكو ويست - نيو سيتي, كمبوند في حدائق أكتوبر",80 M²,2,1
"2,000,000EGP",Apartments For sale in Eco West Compound - New City,"كمبوند ايكو ويست - نيو سيتي, كمبوند في حدائق أكتوبر",160 M²,4,2
"1,350,000EGP",Apartments For sale in Neighbourhood1,"المجاوره الأولى, المنطقة الثالثة - حي الأشجار",165 M²,3,2
"2,000,000EGP",Apartments For sale in Eco West Compound - New City,"كمبوند ايكو ويست - نيو سيتي, كمبوند في حدائق أكتوبر",160 M²,4,2
"1,512,000EGP",Apartments For sale in De Joya3Compound - Taj Misr,"كمبوند دي جويا 3 - تاج مصر,  الحي السكني السابع - R7",168 M²,3,2
"1,180,000EGP",شقه للبيع في كومبوند دجله بالمز اكتوبر,"كمبوند دجلة بالمز - معمار المرشدي, كمبوند في حدائق أكتوبر",100 M²,2,1
"1,500,000EGP",جولف هايتس خليج نبق شرم الشيخ شقة للبيع,"Golf Heights Resort, Sharm El Sheikh Resorts",50 M²,1,1
"1,650,000EGP",Apartments For sale in El Moshir Tantawy Axis,"محور المشير طنطاوي, مدينة نصر",165 M²,3,2
"1,950,000EGP",Roof For sale in Bait El Watan El Asasy,"بيت الوطن الأساسي, بيت الوطن",414 M²,3,3
"1,937,500EGP",Apartments For sale in Mosalsal3,"مسلسل 3, حدائق أكتوبر",155 M²,3,2
"1,260,000EGP",Apartments For sale in15May City,"شارع سيد عنبر, مجاورة 1",140 M²,3,2
"1,344,000EGP",Apartments For sale in Sixth Neighborhood,"الحي السادس, هليوبوليس الجديدة",128 M²,2,1
"1,900,000EGP",Roof For sale in Bait El Watan Ninth Neighborhood,"بيت الوطن الحي التاسع, بيت الوطن",350 M²,3,3
"1,275,000EGP",Corner Apartment170m Pool View Dejoya Taj Misr New Zayed10% DP Over8Years,New Zayed,170 M²,3,3
"1,080,000EGP",Studio For sale in Pyramids Wales Compound -  Al Basha Developments,"كمبوند بيراميدز ويلز - الباشا للتطوير العقاري, كمبوند في ٦ اكتوبر",27 M²,1,1
"1,100,000EGP",Studio For sale in Pyramids Wales Compound -  Al Basha Developments,"كمبوند بيراميدز ويلز - الباشا للتطوير العقاري, كمبوند في ٦ اكتوبر",27 M²,1,1
"1,080,000EGP",Studio For sale in Pyramids Wales Compound -  Al Basha Developments,"كمبوند بيراميدز ويلز - الباشا للتطوير العقاري, كمبوند في ٦ اكتوبر",27 M²,1,1
"1,100,000EGP",Studio For sale in Pyramids Wales Compound -  Al Basha Developments,"كمبوند بيراميدز ويلز - الباشا للتطوير العقاري, كمبوند في ٦ اكتوبر",27 M²,1,1
"1,080,000EGP",Studio For sale in Pyramids Wales Compound -  Al Basha Developments,"كمبوند بيراميدز ويلز - الباشا للتطوير العقاري, كمبوند في ٦ اكتوبر",27 M²,1,1
"1,280,000EGP",Studio For sale in Pyramids Wales Compound -  Al Basha Developments,"كمبوند بيراميدز ويلز - الباشا للتطوير العقاري, كمبوند في ٦ اكتوبر",32 M²,1,1
"1,300,000EGP",Studio For sale in Pyramids Wales Compound -  Al Basha Developments,"كمبوند بيراميدز ويلز - الباشا للتطوير العقاري, كمبوند في ٦ اكتوبر",32 M²,1,1
"1,280,000EGP",Studio For sale in Pyramids Wales Compound -  Al Basha Developments,"كمبوند بيراميدز ويلز - الباشا للتطوير العقاري, كمبوند في ٦ اكتوبر",32 M²,1,1
"1,080,000EGP",Studio For sale in Pyramids Wales Compound -  Al Basha Developments,"كمبوند بيراميدز ويلز - الباشا للتطوير العقاري, كمبوند في ٦ اكتوبر",27 M²,1,1
"1,500,000EGP",Apartments For sale in Al Hay Al Thaleth Ashar,"الحي الثالث عشر , العاشر من رمضان",145 M²,3,2
"1,080,000EGP",Studio For sale in Pyramids Wales Compound -  Al Basha Developments,"كمبوند بيراميدز ويلز - الباشا للتطوير العقاري, كمبوند في ٦ اكتوبر",27 M²,1,1
"1,300,000EGP",Apartments For sale in Green Town Compound - Tesla,"كمبوند جرين تاون - تسلا, كمبوند في حدائق أكتوبر",100 M²,3,1
"1,850,000EGP",Apartments For sale in El-Gaish St.,"شارع الجيش, حدائق الأهرام",115 M²,3,2
"1,080,000EGP",Studio For sale in Pyramids Wales Compound -  Al Basha Developments,"كمبوند بيراميدز ويلز - الباشا للتطوير العقاري, كمبوند في ٦ اكتوبر",27 M²,1,1
"1,133,540EGP",Apartments For sale in Twelfth Zone Buildings,"المنطقه الثانيه عشر عمارات, مدينتي",84 M²,2,1
"1,300,000EGP",Apartments For sale in Green Town Compound - Tesla,"كمبوند جرين تاون - تسلا, كمبوند في حدائق أكتوبر",100 M²,3,1
"1,650,000EGP",Apartments For sale in moon city,"مون سيتى - امكو العقارية, طريق مصر - إسماعيلية الصحراوي",182 M²,3,2
"1,924,000EGP",Apartments For sale in83Tower,"الشارع التجاري, الشطر الثاني",104 M²,2,1
"1,500,000EGP",Apartments For sale in Other Neighborhoods In Hadayek October,"مناطق فرعية بحدائق أكتوبر, حدائق أكتوبر",130 M²,3,2
"1,850,000EGP",Apartments For sale in El Moshir Tantawy Axis,"محور المشير طنطاوي, مدينة نصر",117 M²,3,1
"1,200,000EGP",Apartments For sale in El Iskan El Motmaiz,"منطقة الاسكان المتميز, مدينة بدر",115 M²,3,2
"1,650,000EGP",Apartments140M² Semi Finished in Cairo Plaza Compound - Golden City,الواحه شارع الخمسين,140 M²,3,2
"1,080,000EGP",Studio For sale in Santorini Resort - Apache,"منتجع سانتوريني - أباتشى, منتجعات الساحل الشمالى",50 M²,1,1
"1,500,000EGP",Apartments For sale in Korba Heights Compound - HDG,"كمبوند الكوربة هايتس - مطوري هليوبلس, كمبوند فى هليوبوليس الجديدة",123 M²,3,2
"1,750,000EGP",Apartments For sale in El Khamseen St.,"شارع الخمسين, زهراء المعادي",115 M²,2,1
"2,000,000EGP","Apartment for sale,140square meters, Camp Shizar","طريق الجيش, كامب شيزار",140 M²,2,1
"1,500,000EGP",Apartments For sale in El Mahsoura B,"المحصورة ب, المحصورات",135 M²,3,2
"1,800,000EGP",Studio For sale in Nyoum October Compound - Arab Developers,"كمبوند نيوم أكتوبر - المطورون العرب, كمبوند في ٦ اكتوبر",40 M²,1,1
"1,750,000EGP",شقة للبيع130م ميامي ش خالد بن الوليد بجوار كشري الزعيم,"شارع خالد بن الوليد, ميامي",130 M²,3,1
"1,200,000EGP",Apartments For sale in El-Imam El-Bokhary St,"شارع الإمام البخاري, حي الأشجار - الحي المتميز",120 M²,3,1
"1,500,000EGP",Apartments For sale in El-Moustashar Mohammed Mostafa St.,"شارع المستشار محمد مصطفي, المنطقة الخامسة",145 M²,3,1
"1,900,000EGP",Apartments For sale in King Faisal St,"شارع الملك فيصل, فيصل",150 M²,2,1
"1,620,000EGP",Studio For sale in Nyoum October Compound - Arab Developers,"كمبوند نيوم أكتوبر - المطورون العرب, كمبوند في ٦ اكتوبر",36 M²,1,1
"1,600,000EGP",Apartment with Garden For sale in First Neighborhood,"الحي الأول, العبور",160 M²,3,1
"1,420,000EGP",Apartments For sale in Area L,"المنطقه ل, حدائق الأهرام",125 M²,3,2
"2,000,000EGP",Apartments For sale in Al Hay Al Tasea,"الحي التاسع , العاشر من رمضان",175 M²,3,1
"1,800,000EGP",Studio For sale in Nyoum October Compound - Arab Developers,"كمبوند نيوم أكتوبر - المطورون العرب, كمبوند في ٦ اكتوبر",40 M²,1,1
"1,620,000EGP",Studio For sale in Nyoum October Compound - Arab Developers,"كمبوند نيوم أكتوبر - المطورون العرب, كمبوند في ٦ اكتوبر",36 M²,1,1
"1,350,000EGP",Apartments For sale in Touristic Area A,"المنطقة السياحية أ, حدائق أكتوبر",135 M²,3,2
"1,250,000EGP",Residential unit125m Abd al-Salam Aref main street - Um El-Qura tower4- immediate delivery,"عبد السلام عارف, المنصوره",125 M²,3,1
"1,430,000EGP",Apartments For sale in Bienestar Compound,"كمبوند بيانستر - المنصور, كمبوند بالهضبة الوسطى",110 M²,2,2
"1,700,000EGP",Apartments For sale in Second Neighborhood,", بيت الوطن",106 M²,2,2
"1,305,000EGP",Apartments For sale in15May City,"الشطر الاول, زهراء المعادي",145 M²,3,2
"1,150,000EGP",Apartments For sale in Other Neighborhoods In6th Of October,"مناطق فرعية ب 6 أكتوبر, 6 أكتوبر",100 M²,2,1
"1,350,000EGP",Apartments For sale in Al Hay Al Thaleth Ashar,"الحي الثالث عشر , العاشر من رمضان",165 M²,3,1
"1,120,000EGP",Apartments For sale in Green Life Compound - Qebaa,"كمبوند جرين لايف - قباء, كمبوند بمدينة بدر",140 M²,3,2
"1,885,000EGP",Apartments For sale in Green Town Compound - Qebaa,"كمبوند جرين تاون - قباء, كمبوند في حدائق أكتوبر",145 M²,3,3
"1,670,000EGP",Apartments For sale in Al Moshir Tantawy Axis,"محور المشير طنطاوي, مدينة نصر",167 M²,3,1
"1,670,000EGP",Apartments For sale in Al Moshir Tantawy Axis,"محور المشير طنطاوي, مدينة نصر",167 M²,3,1
"1,300,000EGP",Apartments For sale in Green Town Compound - Qebaa,"كمبوند جرين تاون - قباء, كمبوند في حدائق أكتوبر",100 M²,3,1
"2,000,000EGP",Apartments For sale in Rivers Compound - Tatweer from Misr,"كمبوند ريفرز - تطوير مصر, الشيخ زايد الجديدة",155 M²,3,3
"1,300,000EGP",Apartments For sale in Green Town Compound - Qebaa,"كمبوند جرين تاون - قباء, كمبوند في حدائق أكتوبر",100 M²,3,1
"1,600,000EGP",Apartments For sale in Neighbourhood2,"المجاوره الثانيه, المنطقة التاسعة",130 M²,2,1
"1,500,000EGP",Apartments For sale in El Maadi Ring Road,"دائري المعادي, المعادي",95 M²,2,2
"1,300,000EGP",Apartments For sale in Green City Compound - Qebaa,"كمبوند جرين سيتي - قباء, كمبوند في حدائق أكتوبر",100 M²,3,1
"1,300,000EGP",Apartments For sale in Green City Compound - Qebaa,"كمبوند جرين سيتي - قباء, كمبوند في حدائق أكتوبر",100 M²,3,1
"1,717,633EGP","studio for sale, area of47square meters,15% down payment, in Reveal Obour Compound","كمبوند ريفيل - معمار الأشراف, كمبوند بمدينة العبور",47 M²,1,1
"1,250,000EGP",Roof For sale in Sefara St.,"شارع سفاره, المريوطية",140 M²,2,2
"1,750,000EGP",Apartments For sale in El Khamseen St.,"شارع الخمسين, زهراء المعادي",175 M²,3,2
"2,000,000EGP",Apartments For sale in Sarayat El Katameya Compound - Cairo Consult,"كمبوند سرايات القطامية - كايرو كونسلت, كمبوند بالقطامية",85 M²,2,1
"1,400,000EGP",Studio For sale in Porto Golf Marina - Amer Group,"بورتو جولف مارينا - عامر جروب, منتجعات الساحل الشمالى",47 M²,1,1
"1,200,000EGP",Apartment for sale - Miami -100full meters,"شارع محمود العيسوي, ميامي",100 M²,3,1
"1,600,000EGP",Apartments For sale in Sant Square St.,"شارع ميدان سانت, كفر عبده",115 M²,2,1
"1,750,000EGP",,"شارع خالد بن الوليد, ميامي",125 M²,3,1
"1,450,000EGP",Apartments For sale in Neighbourhood2,"المجاوره الثانيه, المنطقة الثالثة - حي الأشجار",144 M²,2,2
"1,000,000EGP",Apartments For sale in Eco West Compound - New City,"كمبوند ايكو ويست - نيو سيتي, كمبوند في حدائق أكتوبر",80 M²,2,1
"1,900,000EGP",Apartments For sale in The Key Compound - El Mansour,"كمبوند ذا كي - المنصور, كمبوند بالهضبة الوسطى",95 M²,2,1
"1,020,957EGP",Apartments For sale in North Edge Towers - City Edge,"أبراج العلمين الجديدة - سيتي ايدج, منتجعات العلمين الجديدة",120 M²,3,1
"1,042,957EGP",Apartments For sale in North Edge Towers - City Edge,"أبراج العلمين الجديدة - سيتي ايدج, منتجعات العلمين الجديدة",133 M²,3,1
"1,600,000EGP",Panoramic seaview studio for sale - porto sokhna,Ain sokhna,40 M²,1,1
"1,133,540EGP",Apartments For sale in Twelfth Zone Buildings,"المنطقه الثانيه عشر عمارات, مدينتي",84 M²,2,1
"1,748,085EGP","Apartment for sale, area of47square meters,15% down payment, in Reveal Obour Compound","كمبوند ريفيل - معمار الأشراف, كمبوند بمدينة العبور",47 M²,1,1
"2,000,000EGP","Basement area:215sqm +120sqm garden, east of the academy, receipt for6months","شارع حامد حسني سعيد, شرق الأكاديمية",215 M²,3,3
"1,900,000EGP","Basement area:205sqm +120sqm garden, east of the academy, receipt for6months","شارع حامد حسني سعيد, شرق الأكاديمية",205 M²,4,3
"1,900,000EGP","Basement, area220sqm +150sqm, Banafseg Garden11, receipt5months","شارع سليمان الحلبي, البنفسج 11",370 M²,3,3
"1,900,000EGP","Basement, with an area of210square meters +150square meters, garden, Al-Banafseg District5, receipt for3months","شارع زكريا احمد, البنفسج 5",210 M²,3,3
"2,000,000EGP",Apartments For sale in L'avenir Compound - Al Ahly Sabbour,"كمبوند لافينير - الأهلي صبور, كمبوند بمدينة المستقبل",160 M²,3,3
"2,000,000EGP","Apartments For sale in Apartment for sale, Nasr City, El Tayaran Street El Tayaran St.","شارع الطيران, مدينة نصر",90 M²,2,1
"2,000,000EGP","Apartments For sale in Ali Apartment for sale, Nasr City,7th District Ameen St.","شارع على أمين, الحي السابع",110 M²,2,1
"1,800,000EGP","Studio with an area of55meters in Cecilia lagoons village, North Coast,20% down payment","منتجع سيسليا لاجونز - ابن سينا, منتجعات الساحل الشمالى",55 M²,1,1
"1,733,230EGP",Apartments For sale in9Side Compound - El Mansour,9 Side Compound - El Mansour,98 M²,2,2
"1,750,000EGP","50sqm apartment in Heaven Hills, Ain Sokhna,30% down payment, immediate receipt","منتجع هيفن هيلز - البروج مصر, منتجعات العين السخنه",50 M²,2,1
"1,900,000EGP",Penthouse For sale in6October - Wady El Natroun Rd,حدائق اكتوبر طريق وادي النطرون,105 M²,3,1
"1,649,760EGP",Apartments For sale in9Side Compound - El Mansour,"كمبوند 9 سايد - المنصور, كمبوند بالمقطم",98 M²,2,1
"1,698,860EGP",Apartments For sale in9Side Compound - El Mansour,"كمبوند 9 سايد - المنصور, كمبوند بالمقطم",98 M²,2,1
"2,000,000EGP",Apartments100M² For sale in Acacia-October Gardens -6October,October Gardens - 6 October,100 M²,,
"2,000,000EGP",Apartment for sale in Nasr City,"شارع أبو الفوارس, الحي السابع",110 M²,3,1
"1,689,760EGP",Apartments For sale in9Side Compound - El Mansour,"كمبوند 9 سايد - المنصور, كمبوند بالمقطم",94 M²,2,2
"1,689,760EGP",Apartments For sale in9Side Compound - El Mansour,"كمبوند 9 سايد - المنصور, كمبوند بالمقطم",94 M²,2,1
"1,736,280EGP",Apartments For sale in9Side Compound - El Mansour,"كمبوند 9 سايد - المنصور, كمبوند بالمقطم",94 M²,2,2
"1,700,000EGP",Apartments For sale in Ibn El Hakam Sq,"ميدان ابن الحكم, حلمية الزيتون",190 M²,3,2
"1,383,900EGP",Apartments For sale in Madinaty - B8,"مدينتي - بي 8, المنطقه الثامنه عمارات",78 M²,2,1
"1,600,000EGP",Apartments For sale in Other Neighborhoods In6th Of October,"مناطق فرعية ب 6 أكتوبر, 6 أكتوبر",115 M²,3,1
"1,200,000EGP",Apartments For sale in Touristic Area B,"المنطقة السياحية ب, حدائق أكتوبر",145 M²,3,2
"2,000,000EGP",Apartments For sale in Ahmed Zaki St.,"شارع أحمد زكي, النزهة الجديدة",75 M²,2,1
"1,630,200EGP","Apartment for sale,57sqm, immediate receipt,15% down payment, Degla Landmark, Nasr City","شارع حسن المأمون, مدينة نصر دجلة لاندمارك",57 M²,1,1
"1,550,000EGP",Apartments For sale in Touristic Area B,"المنطقة السياحية ب, حدائق أكتوبر",135 M²,3,1
"1,978,883EGP","Apartment113meters for sale with a down payment of395.776in the Golden Park Compound, Ismailia Obour Road","كمبوند جولدن بارك - المعادي للتشييد, طريق مصر - إسماعيلية الصحراوي",113 M²,2,1
"1,663,320EGP",Apartments For sale in The Key Compound - El Mansour,"كمبوند ذا كي - المنصور, كمبوند بالمقطم",100 M²,3,2
"1,494,575EGP",Apartments For sale in The Key Compound - El Mansour,"كمبوند ذا كي - المنصور, كمبوند بالمقطم",96 M²,2,1
"1,531,390EGP",Apartments For sale in The Key Compound - El Mansour,"كمبوند ذا كي - المنصور, كمبوند بالمقطم",92 M²,3,2
"1,776,000EGP","Apartment for sale with an area of111m +14m in Zahraa El Maadi Garden, Degla Residence97project, next to Wadi Degla Club","شارع زهراء المعادي, زهراء المعادي",111 M²,2,2
"1,800,000EGP",Apartments For sale in Mostafa Kamel St.,"شارع مصطفي كامل, السيوف",160 M²,3,2
"1,698,860EGP",Apartments For sale in9Side Compound - El Mansour,"كمبوند 9 سايد - المنصور, كمبوند بالمقطم",98 M²,2,1
"1,500,000EGP",Apartment with Garden For sale in6October - Wady El Natroun Rd,حدائق اكتوبر طريق وادي النطرون,80 M²,2,1
"1,494,575EGP",Apartments For sale in The Key Compound - El Mansour,"كمبوند ذا كي - المنصور, كمبوند بالمقطم",96 M²,2,1
"2,000,000EGP",Apartments For sale in El-Gaish Rd St.,"شارع طريق الجيش, ميامي",130 M²,2,2
"1,936,800EGP","Discover excellence and luxury in the “Una” compound in the Central Plateau in Mokattam, with a wonderful apartment on an area of ​​​​112meters.","كمبوند أونا - الأندلس, كمبوند بالمقطم",112 M²,2,2
"1,992,000EGP",Don't miss the opportunity to get a luxury apartment of110square meters,"كمبوند أونا - الأندلس, كمبوند بالمقطم",110 M²,2,2
"1,200,000EGP",Roof For sale in New Narges,"النرجس الجديدة, القاهرة الجديدة - التجمع الخامس",160 M²,1,1
"1,350,000EGP",Roof For sale in El Andalus2,"الأندلس 2, الأندلس التجمع الخامس",185 M²,1,1
